[34628:35004:0504/120620.084:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[46896:4584:0504/121013.215:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #310).
[46896:4584:0504/121013.235:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #310).
[46896:4584:0504/121013.248:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #310).
[46896:4584:0504/121013.268:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #310).
[46896:4584:0504/121013.299:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #311).
[46896:4584:0504/121013.315:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #311).
[46896:4584:0504/121013.349:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #312).
[46896:4584:0504/121013.366:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #312).
[46896:4584:0504/121013.399:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.415:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.434:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.448:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.465:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.483:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.498:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.515:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.534:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.548:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.565:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.583:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.638:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.647:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.664:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.681:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.697:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.714:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #313).
[46896:4584:0504/121013.792:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #315).
[46896:4584:0504/121013.810:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #315).
[46896:4584:0504/121013.835:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #316).
[46896:4584:0504/121013.849:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #316).
[46896:4584:0504/121013.865:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #316).
[46896:4584:0504/121013.898:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #317).
[46896:4584:0504/121013.914:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #317).
[46896:4584:0504/121013.951:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #318).
[46896:4584:0504/121013.968:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #318).
[46896:4584:0504/121014.001:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #319).
[46896:4584:0504/121014.018:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #319).
[46896:4584:0504/121014.100:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #320).
[46896:4584:0504/121014.116:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #320).
[46896:4584:0504/121014.134:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #320).
[46896:4584:0504/121014.149:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #320).
[46896:4584:0504/121014.167:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #320).
[46896:4584:0504/121014.183:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #320).
[46896:4584:0504/121014.199:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #320).
[46896:4584:0504/121014.250:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #322).
[46896:4584:0504/121014.266:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #322).
[46896:4584:0504/121014.298:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #323).
[46896:4584:0504/121014.321:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #323).
[46896:4584:0504/121014.335:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #323).
[46896:4584:0504/121014.349:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #323).
[46896:4584:0504/121021.098:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #349).
[46896:4584:0504/121021.134:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #350).
[46896:4584:0504/121021.151:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #350).
[46896:4584:0504/121021.167:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #350).
[46896:4584:0504/121021.199:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #351).
[46896:4584:0504/121024.448:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #365).
[46896:4584:0504/121024.465:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #365).
